symbol,strategy,date,entry_time,exit_time,entry,exit,shares,stop,target,pnl,r_multiple,exit_reason,signal_reason,side
QQQ,strategy10_scalp,2025-11-18,09:42:00,11:20:00,599.23,596.271,33,601.131,0.0,97.65,1.557,trail_stop,pdl_break_retest_short,short
QQQ,strategy10_scalp,2025-11-18,11:48:00,12:42:00,597.35,598.861,33,599.551,0.0,-49.86,-0.687,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-11-19,09:40:00,10:48:00,598.68,603.543,33,596.953,0.0,160.48,2.816,trail_stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-11-20,09:59:00,10:07:00,613.28,611.213,32,611.223,0.0,-66.14,-1.005,stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-11-20,11:04:00,13:06:00,609.44,594.087,32,611.367,0.0,491.3,7.967,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-11-21,10:17:00,11:36:00,584.8,587.608,34,589.368,0.0,-95.47,-0.615,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-11-21,12:04:00,13:15:00,590.84,587.872,33,586.422,0.0,-97.94,-0.672,trail_stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-11-24,09:42:00,15:50:00,598.75,605.75,33,595.356,0.0,231.0,2.062,eod_flat,pdh_break_retest_long,long
QQQ,strategy10_scalp,2025-11-25,10:01:00,10:44:00,601.84,603.117,33,603.702,0.0,-42.14,-0.686,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-11-25,11:59:00,14:19:00,604.76,605.968,33,602.918,0.0,39.86,0.656,trail_stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-11-26,10:03:00,13:09:00,611.51,613.941,32,608.9661,0.0,77.79,0.956,trail_stop,pdh_break_retest_long,long
QQQ,strategy10_scalp,2025-11-26,13:47:00,15:50:00,614.45,614.93,32,612.366,0.0,15.36,0.23,eod_flat,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-11-28,09:35:00,09:41:00,617.02,615.6,32,615.61,0.0,-45.44,-1.007,stop,pdh_break_retest_long,long
QQQ,strategy10_scalp,2025-11-28,10:53:00,11:27:00,617.44,616.45,32,616.43,0.0,-31.68,-0.98,trail_stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-12-01,09:48:00,10:25:00,615.11,615.0807,32,614.2707,0.0,-0.94,-0.035,trail_stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-12-01,10:31:00,10:39:00,615.02,615.8367,32,615.8267,0.0,-26.13,-1.012,stop,pdl_break_retest_short,short
QQQ,strategy10_scalp,2025-12-02,09:36:00,10:28:00,620.68,621.428,32,618.7481,0.0,23.94,0.387,trail_stop,pdh_break_retest_long,long
QQQ,strategy10_scalp,2025-12-02,10:35:00,11:09:00,620.89,621.748,32,619.608,0.0,27.46,0.669,trail_stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-12-03,10:05:00,10:10:00,621.48,620.024,32,620.034,0.0,-46.59,-1.007,stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-12-03,15:13:00,15:50:00,624.14,623.94,32,623.134,0.0,-6.4,-0.199,eod_flat,pdh_break_retest_long,long
QQQ,strategy10_scalp,2025-12-04,11:05:00,11:21:00,620.61,621.909,32,621.899,0.0,-41.57,-1.008,stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-12-05,09:46:00,10:45:00,625.48,627.4,31,624.4,0.0,59.52,1.778,trail_stop,pdh_break_retest_long,long
QQQ,strategy10_scalp,2025-12-08,09:52:00,12:56:00,626.35,623.851,31,627.391,0.0,77.47,2.401,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-12-08,13:40:00,14:38:00,623.38,623.001,32,624.231,0.0,12.13,0.445,trail_stop,pdl_break_retest_short,short
