symbol,strategy,date,entry_time,exit_time,entry,exit,shares,stop,target,pnl,r_multiple,exit_reason,signal_reason
SPY,orb,2025-03-11,09:50:00,10:00:00,561.53,558.29,35,558.3,567.99,-113.4,-1.003,stop,orb_break_560.97
SPY,orb,2025-03-14,09:50:00,10:00:00,559.2,555.79,35,555.8,566.0,-119.35,-1.003,stop,orb_break_558.28
SPY,orb,2025-03-17,10:15:00,15:50:00,566.27,568.59,35,562.35,574.11,81.2,0.592,eod_flat,orb_break_566.16
SPY,orb,2025-03-19,09:50:00,14:30:00,563.27,566.54,35,561.63,566.55,114.45,1.994,target,orb_break_563.24
SPY,orb,2025-03-20,09:55:00,15:50:00,566.05,566.46,35,562.6012,572.9476,14.35,0.119,eod_flat,orb_break_565.49
SPY,orb,2025-03-21,10:55:00,15:50:00,560.34,562.4,35,558.27,564.48,72.1,0.995,eod_flat,orb_break_560.28
SPY,orb,2025-03-24,09:50:00,15:50:00,572.61,574.68,34,570.2,577.43,70.38,0.859,eod_flat,orb_break_572.31
SPY,orb,2025-03-25,10:30:00,12:30:00,575.81,574.3,34,574.31,578.81,-51.34,-1.007,stop,orb_break_575.65
SPY,orb,2025-03-27,09:55:00,15:50:00,567.83,568.96,35,564.94,573.61,39.55,0.391,eod_flat,orb_break_567.52
SPY,orb,2025-03-31,10:10:00,15:40:00,551.39,559.4,36,547.38,559.41,288.36,1.998,target,orb_break_550.63
SPY,orb,2025-04-01,09:50:00,10:05:00,558.39,555.99,35,556.0,563.17,-84.0,-1.004,stop,orb_break_557.72
SPY,orb,2025-04-02,09:50:00,15:50:00,559.38,565.29,35,554.81,568.52,206.85,1.293,eod_flat,orb_break_559.00
SPY,orb,2025-04-08,10:00:00,11:00:00,522.6,517.78,38,517.79,532.22,-183.16,-1.002,stop,orb_break_522.17
SPY,orb,2025-04-11,09:50:00,10:20:00,527.23,521.09,37,521.1,539.49,-227.18,-1.002,stop,orb_break_526.27
SPY,orb,2025-04-15,09:55:00,10:15:00,542.48,539.239,36,539.249,548.942,-116.68,-1.003,stop,orb_break_542.22
SPY,orb,2025-04-16,11:25:00,11:55:00,534.46,531.56,37,531.57,540.24,-107.3,-1.003,stop,orb_break_533.86
SPY,orb,2025-04-17,09:55:00,10:15:00,528.87,526.35,37,526.36,533.89,-93.24,-1.004,stop,orb_break_528.49
SPY,orb,2025-04-22,09:50:00,12:00:00,521.86,527.185,38,519.1925,527.195,202.35,1.996,target,orb_break_521.45
SPY,orb,2025-04-24,09:50:00,12:15:00,538.28,543.9292,37,535.4504,543.9392,209.02,1.996,target,orb_break_537.93
SPY,orb,2025-04-29,09:50:00,15:50:00,550.98,554.93,36,548.55,555.84,142.2,1.626,eod_flat,orb_break_550.41
SPY,orb,2025-04-30,11:05:00,15:50:00,547.81,552.85,36,542.6,558.23,181.44,0.967,eod_flat,orb_break_547.59
SPY,orb,2025-05-01,10:25:00,15:50:00,561.76,562.16,35,559.05,567.18,14.0,0.148,eod_flat,orb_break_561.00
SPY,orb,2025-05-02,10:30:00,15:50:00,566.31,566.21,35,563.83,571.27,-3.5,-0.04,eod_flat,orb_break_565.48
SPY,orb,2025-05-05,10:10:00,15:50:00,563.48,564.155,35,561.82,566.8,23.62,0.407,eod_flat,orb_break_563.20
SPY,orb,2025-05-06,10:20:00,15:50:00,559.97,561.02,35,557.55,564.81,36.75,0.434,eod_flat,orb_break_559.66
SPY,orb,2025-05-07,10:00:00,10:50:00,561.47,559.5102,35,559.5202,565.3696,-68.59,-1.005,stop,orb_break_561.20
SPY,orb,2025-05-08,11:25:00,12:15:00,565.99,569.68,35,564.14,569.69,129.15,1.995,target,orb_break_565.64
SPY,orb,2025-05-13,09:55:00,13:30:00,584.76,588.59,34,582.84,588.6,130.22,1.995,target,orb_break_584.67
SPY,orb,2025-05-15,10:05:00,10:30:00,586.82,585.4902,34,585.5002,589.4596,-45.21,-1.008,stop,orb_break_586.47
SPY,orb,2025-05-19,09:50:00,15:50:00,591.03,594.29,33,588.09,596.91,107.58,1.109,eod_flat,orb_break_590.51
SPY,orb,2025-05-20,10:40:00,11:00:00,593.75,592.75,33,592.76,595.73,-33.0,-1.01,stop,orb_break_593.63
SPY,orb,2025-05-21,09:50:00,13:15:00,590.15,588.41,33,588.42,593.61,-57.42,-1.006,stop,orb_break_589.97
SPY,orb,2025-05-22,10:00:00,15:50:00,584.2,585.04,34,581.405,589.79,28.56,0.301,eod_flat,orb_break_583.52
